humidity,pm_2_5,temperature,hour,day,month
92.02022905,4.0,27.18779535,19,17,6
93.14503791,6.448275862,26.86796955,20,17,6
93.29534722,7.732758621,26.69395423,21,17,6
93.23996526,6.846153846,26.78777514,22,17,6
92.72513504,5.939655172,26.80884632,23,17,6
93.18895284,5.076923077,26.91824112,0,18,6
94.66879307,7.034482759,26.44483588,1,18,6
93.29000319,4.435897436,26.0462993,2,18,6
91.31464593,1.238938053,25.92903903,3,18,6
91.48470509,1.948717949,25.59178072,4,18,6
87.48698071,0.00862069,25.45960643,5,18,6
87.46551698,0.115044248,25.32510957,6,18,6
84.5550746,0.415929204,24.98133082,7,18,6
86.3193192,1.060344828,24.71987616,8,18,6
88.12902443,2.140350877,25.09210246,9,18,6
86.68789565,1.129310345,25.75392532,10,18,6
84.98482052,1.0,26.55872983,11,18,6
81.20423928,0.681034483,27.91988019,12,18,6
79.2071792,0.547008547,29.29374532,13,18,6
76.87710243,0.844827586,30.32307345,14,18,6
75.12496724,0.735042735,30.58098718,15,18,6
77.24500374,1.299145299,30.44009035,16,18,6
79.36060647,6.747826087,30.60418365,17,18,6
80.60492684,1.948275862,30.04479893,18,18,6
82.84098043,6.913793103,29.27462929,19,18,6
83.95856544,8.50862069,28.48563804,20,18,6
86.10378087,15.94827586,28.11884847,21,18,6
88.54829782,11.96581197,27.45781667,22,18,6
88.91873614,9.301724138,27.33327143,23,18,6
89.65937885,8.379310345,27.13801955,0,19,6
89.5282069,7.026548673,26.92910883,1,19,6
89.70443568,7.363636364,26.63599917,2,19,6
91.2408494,8.457943925,26.44676776,3,19,6
93.03639062,8.543103448,25.98390865,4,19,6
94.77894839,9.655172414,25.63941202,5,19,6
93.7797,9.982758621,25.89777504,6,19,6
92.75022465,9.41025641,26.03763714,7,19,6
90.28439265,6.901785714,26.69523772,8,19,6
82.67007027,1.75,28.63689171,9,19,6
78.31065556,0.384615385,29.96555739,10,19,6
72.47946478,0.077586207,31.12318009,11,19,6
67.06843796,0.401709402,32.45675901,12,19,6
66.62662876,1.456896552,32.58483587,13,19,6
64.95578193,2.422413793,33.34638681,14,19,6
62.71856052,2.0,33.90238088,15,19,6
63.73199627,1.362068966,33.45858581,16,19,6
65.56246162,2.034188034,32.7675186,17,19,6
72.32967216,5.801724138,31.10799313,18,19,6
73.56842,6.474137931,30.34298518,19,19,6
74.61175982,10.21929825,30.38066351,20,19,6
77.71858825,11.09482759,29.96952884,21,19,6
80.68784523,8.405172414,29.55261215,22,19,6
83.10395175,10.69827586,28.51271212,23,19,6
84.72729902,15.51724138,28.22083,0,20,6
86.95759539,8.974358974,27.39647167,1,20,6
88.58012053,11.06034483,26.81002318,2,20,6
89.26060438,11.34821429,26.50956807,3,20,6
89.05000591,11.02586207,26.52144814,4,20,6
89.97995539,11.32758621,26.25238221,5,20,6
90.57926391,10.56521739,25.96206789,6,20,6
90.95865765,10.67241379,25.78157287,7,20,6
88.93681457,8.706896552,26.75617947,8,20,6
84.07861649,4.060344828,28.41423027,9,20,6
75.61783649,4.405172414,30.17233204,10,20,6
65.64472667,8.948275862,31.74617186,11,20,6
65.47724521,2.897435897,32.49181319,12,20,6
64.16741469,4.301724138,33.17926549,13,20,6
59.664116,4.456896552,34.02495619,14,20,6
56.77452932,3.401709402,34.52243821,15,20,6
56.91609779,3.612068966,34.63192613,16,20,6
54.6874735,3.387931034,34.52133302,17,20,6
54.66650342,3.170940171,34.31875054,18,20,6
66.02710226,3.367521368,33.32224377,19,20,6
76.9984836,8.155172414,31.2446244,20,20,6
81.53017037,12.12068966,30.01540009,21,20,6
86.17929966,22.05982906,28.67465377,22,20,6
85.9186,36.0619469,28.03628429,23,20,6
83.9916108,32.02586207,27.33056664,0,21,6
84.84785991,30.59482759,26.67937741,1,21,6
87.49167158,29.18103448,25.85758486,2,21,6
87.60948702,17.94871795,25.83767491,3,21,6
88.89168357,16.04273504,25.28229196,4,21,6
90.68809609,19.19827586,24.81768092,5,21,6
91.58892322,16.74137931,24.49170904,6,21,6
90.96242851,14.20512821,24.55008487,7,21,6
88.03384867,11.47413793,25.91585283,8,21,6
82.475266,5.136752137,28.30661693,9,21,6
75.1320583,4.344827586,30.00712911,10,21,6
69.39816681,3.461538462,31.36014514,11,21,6
63.4724006,4.25,32.44286053,12,21,6
58.64002554,5.658119658,33.55245174,13,21,6
56.3475613,4.426086957,34.19798441,14,21,6
55.04031716,5.543103448,34.55270272,15,21,6
56.20565991,8.612068966,34.44611186,16,21,6
56.05155395,8.646551724,34.47841575,17,21,6
60.00115158,2.732758621,34.30542297,18,21,6
64.72378509,4.344827586,32.56890375,19,21,6
69.76527522,10.87068966,31.64585152,20,21,6
75.80916345,16.0,30.27485904,21,21,6
83.1131214,23.62931034,28.33724903,22,21,6
86.76809819,42.94017094,27.47165809,23,21,6
87.00296798,33.02608696,27.3197831,0,22,6
88.88877431,22.47008547,26.77333439,1,22,6
88.87415123,19.61946903,26.65506514,2,22,6
89.53632702,18.18584071,26.28129591,3,22,6
90.09088322,19.27350427,26.1054442,4,22,6
89.11975957,20.55172414,26.50459263,5,22,6
90.99792733,17.68103448,25.97024526,6,22,6
91.38360711,18.1826087,26.0315825,7,22,6
89.06091284,15.48717949,27.10280301,8,22,6
85.39231235,11.9137931,28.36974212,9,22,6
76.92336301,5.547008547,30.40875054,10,22,6
72.26648566,4.663793103,31.90980839,11,22,6
67.37407591,5.341880342,32.95562055,12,22,6
63.78342027,5.887931034,34.04002613,13,22,6
62.2488186,4.887931034,34.58629195,14,22,6
67.98152504,4.692307692,34.21609443,15,22,6
65.61989714,6.939655172,34.7517755,16,22,6
65.90485622,5.0,34.48743518,17,22,6
69.90939591,6.170940171,33.22110153,18,22,6
73.61701835,9.853448276,32.05972911,19,22,6
77.43900504,28.92241379,31.06256026,20,22,6
80.42815365,35.51724138,30.379874,21,22,6
83.18261649,40.50862069,29.70053478,22,22,6
85.39321513,39.10344828,29.17707817,23,22,6
87.64840848,37.46086957,28.8677013,0,23,6
90.79535283,25.36283186,27.99977591,1,23,6
92.52052655,18.30088496,27.39177149,2,23,6
92.15265991,20.71304348,27.23658955,3,23,6
91.74064698,22.34482759,27.08913368,4,23,6
91.13946469,17.10909091,27.16728143,5,23,6
91.82360438,15.40517241,26.88413627,6,23,6
93.33634733,14.37168142,26.49743405,7,23,6
90.29360149,11.38053097,27.48504135,8,23,6
86.21457879,9.551724138,29.07040796,9,23,6
76.52064009,6.146551724,30.68331652,10,23,6
68.87755158,6.247863248,32.27811288,11,23,6
65.84314443,6.810344828,33.4102367,12,23,6
58.99775248,6.120689655,34.31039373,13,23,6
54.09886363,6.956896552,34.76890387,14,23,6
61.13064103,5.905982906,34.97497796,15,23,6
62.61454112,5.017241379,35.12997409,16,23,6
62.35190617,4.307017544,34.98512883,17,23,6
63.82367982,3.034482759,33.6652422,18,23,6
66.8804164,7.75,32.71225229,19,23,6
72.50195565,18.78632479,31.20984868,20,23,6
77.9432467,30.43965517,29.89629045,21,23,6
79.46001965,27.19827586,29.0540418,22,23,6
80.26561322,16.41025641,28.42391936,23,23,6
81.39865681,14.32758621,28.13276841,0,24,6
82.78731009,9.212389381,27.82244209,1,24,6
85.60351482,8.051724138,27.10331295,2,24,6
87.38385342,6.75862069,26.78149027,3,24,6
89.0388308,7.513274336,26.47718303,4,24,6
89.52637018,6.575221239,26.31140211,5,24,6
89.54335421,6.034188034,26.24840105,6,24,6
89.88002613,7.345132743,26.22639676,7,24,6
88.01474723,6.477876106,26.83579117,8,24,6
84.47123142,3.769911504,28.1931417,9,24,6
77.85070459,3.655172414,30.05998145,10,24,6
69.9824125,4.672413793,32.25663017,11,24,6
65.09539464,5.370689655,33.59838703,12,24,6
61.25257991,4.75,34.6731831,13,24,6
58.22297186,4.672413793,35.28748939,14,24,6
64.71217113,6.339130435,34.46188241,15,24,6
74.52780702,6.282051282,31.32505275,16,24,6
89.39154,4.681034483,26.50983357,17,24,6
84.33857946,3.551724138,28.91690688,18,24,6
84.99941842,4.631578947,28.37355563,19,24,6
89.45673142,16.36206897,26.99031009,20,24,6
89.4927469,10.93043478,26.50955577,21,24,6
90.19349043,12.61061947,26.26506768,22,24,6
90.56608826,14.44827586,26.40309223,23,24,6
90.8103,29.30973451,26.41161142,0,25,6
91.80370374,17.86206897,26.15254921,1,25,6
91.69142451,15.55172414,26.04628613,2,25,6
91.99383219,16.12389381,25.81208675,3,25,6
91.15989063,12.85840708,26.04996676,4,25,6
92.79772905,13.86206897,25.5963917,5,25,6
93.4490357,15.06363636,25.50828673,6,25,6
92.56324781,14.36206897,25.82487143,7,25,6
90.44521956,14.2991453,26.61977018,8,25,6
87.97277322,7.284482759,27.86433464,9,25,6
84.35004486,5.862068966,29.13319066,10,25,6
75.64647947,4.387931034,30.787986,11,25,6
68.11725617,2.871794872,32.50402637,12,25,6
62.00071661,2.974137931,33.85941028,13,25,6
57.57608487,1.948717949,35.46257632,14,25,6
60.85537732,2.698275862,35.01881357,15,25,6
74.49397513,4.301724138,31.18710626,16,25,6
91.53943767,0.184210526,24.80311557,17,25,6
90.13802713,0.504424779,25.61367982,18,25,6
91.44876171,0.85840708,24.36723174,19,25,6
91.03569505,3.043478261,24.71364209,20,25,6
92.55572793,8.887931034,24.67233375,21,25,6
93.89932426,4.767241379,24.65069045,22,25,6
93.66298417,3.236363636,24.76484283,23,25,6
94.07512892,4.0,24.68819477,0,26,6
93.52986357,3.324074074,24.613165,1,26,6
93.74751061,4.963636364,24.4177757,2,26,6
93.76447345,6.612068966,24.30843819,3,26,6
93.65822129,4.830357143,24.33332609,4,26,6
93.10306871,3.623931624,24.60002991,5,26,6
93.88375702,3.732758621,24.42470144,6,26,6
94.19248333,6.136363636,24.55021982,7,26,6
93.15786947,5.72173913,25.52751136,8,26,6
89.46750814,2.551724138,27.21578354,9,26,6
81.05873871,0.777777778,29.20749292,10,26,6
70.30372373,0.215517241,31.18508864,11,26,6
63.75796548,0.112068966,32.48583548,12,26,6
59.89281158,0.068965517,33.44939786,13,26,6
57.23094845,0.957264957,33.86201726,14,26,6
59.24591296,2.634782609,33.7706243,15,26,6
58.73381939,2.897435897,34.25433991,16,26,6
66.59351419,1.594827586,33.88339487,17,26,6
75.19064765,2.547008547,31.36991513,18,26,6
84.54030117,2.862068966,27.67129619,19,26,6
86.04511929,7.043103448,27.42794893,20,26,6
86.95391767,15.86725664,27.7480719,21,26,6
88.76118123,10.80909091,27.66283981,22,26,6
90.16421957,7.407079646,27.45157316,23,26,6
82.79619018,15.73275862,26.68910377,0,27,6
85.77270563,0.405172414,25.86361972,1,27,6
87.77792306,2.408695652,25.61922131,2,27,6
89.03279741,6.439655172,25.47752936,3,27,6
89.80931328,0.598130841,25.52415054,4,27,6
91.56344796,8.898148148,25.06978775,5,27,6
92.0020708,8.347826087,25.05917991,6,27,6
92.49204446,9.526785714,24.87654912,7,27,6
94.61169316,8.214953271,25.25245265,8,27,6
90.14142276,4.75862069,27.14059658,9,27,6
82.48983417,2.267857143,29.16613104,10,27,6
